ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,pulse_raw,pulse_detected,ultra_left_zone,ultra_right_zone,matrix_head_zone,matrix_waist_zone
2026-04-16 20:27:55.928,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:56.168,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:56.407,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:56.647,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:56.827,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:57.069,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:57.308,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:57.547,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:57.727,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,90,103,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:57.967,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:58.207,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,112,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:58.447,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:58.627,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:58.868,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:59.107,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:59.348,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,102,106,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:59.528,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,107,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:27:59.769,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:00.007,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:00.247,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,112,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:00.428,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:00.668,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:00.907,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:01.147,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:01.328,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:01.569,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:01.808,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:02.047,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,59,90,105,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:02.227,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:02.469,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:02.767,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:02.947,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:03.127,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:03.368,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,109,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:03.608,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,108,111,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:03.787,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:04.027,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,58,90,104,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:04.208,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:04.471,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,103,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:04.687,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,110,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:04.868,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,106,108,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:05.107,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,104,107,True,True,0,False,imminent,imminent,imminent,imminent
2026-04-16 20:28:05.347,4,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,60,90,105,108,True,True,0,False,imminent,imminent,imminent,imminent
