ts,version,battery_percent,mode,mode_name,heart_bpm,flags,fall,high_stress,obstacle_near,obstacle_imminent,imu_ax_ms2,imu_ay_ms2,imu_az_ms2,ultra_left_mm,ultra_right_mm,matrix_head_mm,matrix_waist_mm,matrix_head_valid,matrix_waist_valid,heart_bpm_roll,heart_above_high,heart_below_low,battery_low,stress_score,virtual_mode_default,virtual_mode_conservative,mode_delta_default,mode_delta_conservative,imu_accel_mag_ms2
2026-04-16 16:40:01.743,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,342,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:01.983,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,341,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:02.163,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,338,295,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:02.403,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,344,293,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:02.582,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,339,289,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:02.763,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,337,297,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:03.003,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,337,295,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:03.243,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,340,296,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:03.423,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,342,292,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:03.603,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,338,296,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:03.842,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,338,296,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:04.083,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,366,305,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:04.323,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,392,329,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:04.563,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,481,368,True,True,0.0,False,True,True,0,1,1,1,1,0.0
2026-04-16 16:40:04.743,3,0,0,NORMAL,0,0,False,False,False,False,0.0,0.0,0.0,70,50,512,378,True,True,0.0,False,True,True,0,1,1,1,1,0.0
